Job_name,Number of applicants,Date posted,Location,Job title
IT Search and Selection,26 applicants,1 day ago,"Kildare, County Kildare, Ireland",Field IT Coordinator (Graduate role)
Sigmar Recruitment,190 applicants,1 week ago,"Dublin, County Dublin, Ireland",Level 1 Technical Support
Collabera Digital,140 applicants,1 week ago,"Dublin, County Dublin, Ireland",Product Manager
Berkley Group,67 applicants,1 day ago,"Dublin, County Dublin, Ireland",IT Project Manager
Perigord Life Science Solutions,Number of applicants not found,3 weeks ago,"Dublin, County Dublin, Ireland",IT Helpdesk Support
Sigmar Recruitment,62 applicants,1 week ago,"Limerick, County Limerick, Ireland",Robotics Engineer
Amach,Number of applicants not found,1 month ago,"Dublin, County Dublin, Ireland",Scrum Master
QPTech Ltd,66 applicants,2 days ago,"County Clare, Ireland",Information Technology Technical Support
Verizon Connect,189 applicants,1 week ago,"Dublin, County Dublin, Ireland",Senior Product Manager
Ryanair - Europe's Favourite Airline,75 applicants,3 days ago,"Dublin, County Dublin, Ireland",Senior Insights Analyst
IT Search and Selection,26 applicants,1 day ago,"Kildare, County Kildare, Ireland",Field IT Coordinator (Graduate role)
Sigmar Recruitment,190 applicants,1 week ago,"Dublin, County Dublin, Ireland",Level 1 Technical Support
Collabera Digital,140 applicants,1 week ago,"Dublin, County Dublin, Ireland",Product Manager
Berkley Group,67 applicants,1 day ago,"Dublin, County Dublin, Ireland",IT Project Manager
Perigord Life Science Solutions,Number of applicants not found,3 weeks ago,"Dublin, County Dublin, Ireland",IT Helpdesk Support
Sigmar Recruitment,62 applicants,1 week ago,"Limerick, County Limerick, Ireland",Robotics Engineer
Amach,Number of applicants not found,1 month ago,"Dublin, County Dublin, Ireland",Scrum Master
QPTech Ltd,66 applicants,2 days ago,"County Clare, Ireland",Information Technology Technical Support
Verizon Connect,189 applicants,1 week ago,"Dublin, County Dublin, Ireland",Senior Product Manager
Ryanair - Europe's Favourite Airline,75 applicants,3 days ago,"Dublin, County Dublin, Ireland",Senior Insights Analyst
IT Search and Selection,26 applicants,1 day ago,"Kildare, County Kildare, Ireland",Field IT Coordinator (Graduate role)
Sigmar Recruitment,190 applicants,1 week ago,"Dublin, County Dublin, Ireland",Level 1 Technical Support
Collabera Digital,140 applicants,1 week ago,"Dublin, County Dublin, Ireland",Product Manager
Berkley Group,67 applicants,1 day ago,"Dublin, County Dublin, Ireland",IT Project Manager
Perigord Life Science Solutions,Number of applicants not found,3 weeks ago,"Dublin, County Dublin, Ireland",IT Helpdesk Support
Sigmar Recruitment,62 applicants,1 week ago,"Limerick, County Limerick, Ireland",Robotics Engineer
Company name not found,Number of applicants not found,Date posted not found,Location not found,Role not found
Company name not found,Number of applicants not found,Date posted not found,Location not found,Role not found
Verizon Connect,189 applicants,1 week ago,"Dublin, County Dublin, Ireland",Senior Product Manager
Company name not found,Number of applicants not found,Date posted not found,Location not found,Role not found
